((1, 4), 2, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 0, -1, (1, 3))
((1, 2), 1, -1, (1, 2))
((2, 2), 2, -1, (2, 2))
((2, 3), 0, -1, (2, 3))
((2, 2), 0, -1, (2, 2))
((2, 1), 2, -1, (2, 1))
((2, 2), 1, -1, (2, 2))
((3, 2), 2, -1, (3, 2))
((3, 3), 1, -1, (3, 3))
((4, 3), 1, -1, (4, 3))
((5, 3), 2, -1, (5, 3))
((5, 4), 3, -100, (5, 4))
((1, 4), 1, -1, (1, 4))
((2, 4), 2, -100, (2, 4))
((1, 4), 3, -1, (1, 4))
((1, 4), 3, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 1, -1, (1, 3))
((2, 3), 2, -1, (2, 3))
((2, 4), 2, -100, (2, 4))
((1, 4), 2, -1, (1, 4))
((1, 4), 2, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 2, -1, (1, 3))
((1, 4), 0, -1, (1, 4))
((1, 3), 3, -1, (1, 3))
((1, 3), 3, -1, (1, 3))
((1, 3), 0, -1, (1, 3))
((1, 2), 3, -1, (1, 2))
((1, 2), 2, -1, (1, 2))
((1, 3), 0, -1, (1, 3))
((1, 2), 0, -1, (1, 2))
((1, 1), 0, -1, (1, 1))
((1, 1), 3, -1, (1, 1))
((1, 1), 3, -1, (1, 1))
((1, 1), 1, -1, (1, 1))
((2, 1), 3, -1, (2, 1))
((1, 1), 2, -1, (1, 1))
((1, 2), 0, -1, (1, 2))
((1, 1), 0, -1, (1, 1))
((1, 1), 1, -1, (1, 1))
((2, 1), 0, -1, (2, 1))
((2, 1), 3, -1, (2, 1))
((1, 1), 1, -1, (1, 1))
((2, 1), 1, -1, (2, 1))
((3, 1), 2, -1, (3, 1))
((3, 2), 0, -1, (3, 2))
((3, 1), 3, -1, (3, 1))
((2, 1), 2, -1, (2, 1))
((2, 2), 3, -1, (2, 2))
((1, 2), 3, -1, (1, 2))
((1, 2), 1, -1, (1, 2))
((2, 2), 2, -1, (2, 2))
((2, 3), 3, -1, (2, 3))
((1, 3), 1, -1, (1, 3))
((2, 3), 1, -1, (2, 3))
((3, 3), 2, -1, (3, 3))
((3, 4), 3, -100, (3, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 3, -1, (1, 3))
((1, 3), 2, -1, (1, 3))
((1, 4), 3, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 0, -1, (1, 3))
((1, 2), 0, -1, (1, 2))
((1, 1), 1, -1, (1, 1))
((2, 1), 2, -1, (2, 1))
((2, 2), 1, -1, (2, 2))
((3, 2), 3, -1, (3, 2))
((2, 2), 1, -1, (2, 2))
((3, 2), 1, -1, (3, 2))
((4, 2), 3, -1, (4, 2))
((3, 2), 0, -1, (3, 2))
((3, 1), 0, -1, (3, 1))
((3, 1), 1, -1, (3, 1))
((4, 1), 0, -1, (4, 1))
((4, 1), 2, -1, (4, 1))
((4, 2), 0, -1, (4, 2))
((4, 1), 3, -1, (4, 1))
((3, 1), 0, -1, (3, 1))
((3, 1), 3, -1, (3, 1))
((2, 1), 0, -1, (2, 1))
((2, 1), 0, -1, (2, 1))
((2, 1), 1, -1, (2, 1))
((3, 1), 1, -1, (3, 1))
((4, 1), 1, -1, (4, 1))
((5, 1), 1, -1, (5, 1))
((6, 1), 1, -1, (6, 1))
((7, 1), 0, -1, (7, 1))
((7, 1), 0, -1, (7, 1))
((7, 1), 1, -1, (7, 1))
((8, 1), 1, -1, (8, 1))
((9, 1), 3, -1, (9, 1))
((8, 1), 3, -1, (8, 1))
((7, 1), 2, -1, (7, 1))
((7, 2), 0, -1, (7, 2))
((7, 1), 3, -1, (7, 1))
((6, 1), 3, -1, (6, 1))
((5, 1), 0, -1, (5, 1))
((5, 1), 3, -1, (5, 1))
((4, 1), 3, -1, (4, 1))
((3, 1), 2, -1, (3, 1))
((3, 2), 3, -1, (3, 2))
((2, 2), 1, -1, (2, 2))
((3, 2), 2, -1, (3, 2))
((3, 3), 0, -1, (3, 3))
((3, 2), 2, -1, (3, 2))
((3, 3), 3, -1, (3, 3))
((2, 3), 1, -1, (2, 3))
((3, 3), 0, -1, (3, 3))
((3, 2), 0, -1, (3, 2))
((3, 1), 1, -1, (3, 1))
((4, 1), 1, -1, (4, 1))
((5, 1), 2, -1, (5, 1))
((5, 2), 2, -1, (5, 2))
((5, 3), 1, -1, (5, 3))
((6, 3), 2, -1, (6, 3))
((6, 4), 2, -100, (6, 4))
((1, 4), 2, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 3, -1, (1, 3))
((1, 3), 1, -1, (1, 3))
((2, 3), 0, -1, (2, 3))
((2, 2), 1, -1, (2, 2))
((3, 2), 2, -1, (3, 2))
((3, 3), 3, -1, (3, 3))
((2, 3), 3, -1, (2, 3))
((1, 3), 0, -1, (1, 3))
((1, 2), 2, -1, (1, 2))
((1, 3), 1, -1, (1, 3))
((2, 3), 0, -1, (2, 3))
((2, 2), 3, -1, (2, 2))
((1, 2), 1, -1, (1, 2))
((2, 2), 0, -1, (2, 2))
((2, 1), 1, -1, (2, 1))
((3, 1), 3, -1, (3, 1))
((2, 1), 3, -1, (2, 1))
((1, 1), 1, -1, (1, 1))
((2, 1), 2, -1, (2, 1))
((2, 2), 2, -1, (2, 2))
((2, 3), 1, -1, (2, 3))
((3, 3), 1, -1, (3, 3))
((4, 3), 3, -1, (4, 3))
((3, 3), 1, -1, (3, 3))
((4, 3), 0, -1, (4, 3))
((4, 2), 2, -1, (4, 2))
((4, 3), 2, -1, (4, 3))
((4, 4), 1, -100, (4, 4))
((1, 4), 3, -1, (1, 4))
((1, 4), 3, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 2, -1, (1, 3))
((1, 4), 2, -1, (1, 4))
((1, 4), 2, -1, (1, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 0, -1, (1, 3))
((1, 2), 3, -1, (1, 2))
((1, 2), 3, -1, (1, 2))
((1, 2), 2, -1, (1, 2))
((1, 3), 1, -1, (1, 3))
((2, 3), 3, -1, (2, 3))
((1, 3), 2, -1, (1, 3))
((1, 4), 3, -1, (1, 4))
((1, 4), 1, -1, (1, 4))
((2, 4), 3, -100, (2, 4))
((1, 4), 0, -1, (1, 4))
((1, 3), 3, -1, (1, 3))
((1, 3), 3, -1, (1, 3))
((1, 3), 0, -1, (1, 3))
((1, 2), 0, -1, (1, 2))
((1, 1), 2, -1, (1, 1))
((1, 2), 3, -1, (1, 2))
((1, 2), 1, -1, (1, 2))
((2, 2), 3, -1, (2, 2))
